,OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Region,Households,Workers_1,Residents,Drivers,Vehicles,White,Male,Lowwage,Medwage,Highwage,W_P_Lowwage,W_P_Medwage,W_P_Highwage,GasPrice,logd1a,logd1c,logd3aao,logd3apo,d4bo25,d5dei_1,logd4d,UPTpercap,B_C_constant,B_C_male,B_C_ld1c,B_C_drvmveh,B_C_ld1a,B_C_ld3apo,B_C_inc1,B_C_gasp,B_N_constant,B_N_inc2,B_N_inc3,B_N_white,B_N_male,B_N_drvmveh,B_N_gasp,B_N_ld1a,B_N_ld1c,B_N_ld3aao,B_N_ld3apo,B_N_d4bo25,B_N_d5dei,B_N_UPTpc,C_R_Households,C_R_Pop,C_R_Workers,C_R_Drivers,C_R_Vehicles,C_R_White,C_R_Male,C_R_Lowwage,C_R_Medwage,C_R_Highwage,C_R_DrmV,NonCom_VMT_Per_Worker,Com_VMT_Per_Worker,VMT_per_worker,VMT_tot_min,VMT_tot_max,VMT_tot_avg,GHG_per_worker,Annual_GHG,SLC_score,Shape__Area,Shape__Length,FIPS,StCtyTract
0,1,481130078254,481130078254,48,113,7825,4,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,73.5950285,0.0,73.5950285,73.5950285,1202,460.0,423.0,0.549,69,0.163120567376,39,0.0921985815603,315,0.744680851064,412,99,122,191,0.240291262135922,66,20,3,0,19,24,20,3,0,15,24,0,4,0,21,27,18,0.318181818181818,6.2504222007333,16.3326249680031,0.896799707061735,0.271757486988404,0.0407636230482607,0.0,0.258169612638984,0.326108984386085,0.271757486988404,0.0407636230482607,0.0,0.203818115241303,0.326108984386085,0.0,0.0543514973976809,0.0,7.14722190779504,0,0.156028368794326,0.886263937159177,0.763386204000576,0.855441777127712,0.662091431951069,0.348911599125083,0.526295799180876,0.585916035972523,0.287128310862159,0.10410094637224,0.276150627615063,6.24242424242424,0.0052874232904872,23.5348998109677,0.0,10.6552772505515,12.8796225604162,115.981747326859,0.0,60.8736770854026,8.69623958362894,34.7849583345158,43.4811979181447,362.1,0.0,0.0,4.33,37.6547173971,0.00360232945092,433601,303660,135362,53504,0.0003979439980741,0.785893462381962,0.0003576452113522,0.841298601991456,0.0005250752648156,0.184696706727358,0.0004755984712616,0.137706673255503,6,14,15,17,14.0,"Dallas-Fort Worth-Arlington, TX Metro Area",444.0,412.0,1141.0,660.88,648.0,455.0,687.0,99.0,122.0,191.0,0.318181818181818,0.409090909090909,0.272727272727273,213.0,1.98105970175492,0.640168101330906,0.0,2.63042176165533,0.0,0.0,4.0,11.0,0.962706,-0.027509,-0.08353,-0.241761,-0.018226,-0.145805,-0.068564,0.012247,2.113264,0.328856,0.232304,0.030571,0.026792,0.093403,0.000627,-0.091362,-0.091362,-0.034381,-0.33084,-0.648986,-0.328734,0.023496,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,5.80766732024469,21.6887378452173,27.496405165462,11.4429945577514,82.6363030031542,25.6593272665218,24.4992970024266,6369.81722063092,77.4509557734324,297836.083076477,3110.36082004672,48113,48113007825
1,2,481130078252,481130078252,48,113,7825,2,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,119.8299095,0.0,119.8299095,119.2142,710,409.0,409.0,0.466,0,0.0,168,0.41075794621,241,0.58924205379,395,76,107,212,0.192405063291139,25,7,0,3,15,0,7,0,3,13,0,0,2,0,10,4,11,0.4,3.43079935108402,5.95566635518252,0.209706561802201,0.0587178373046164,0.0,0.0251647874162642,0.125823937081321,0.0,0.0587178373046164,0.0,0.0251647874162642,0.109047412137145,0.0,0.0,0.0167765249441761,0.0,3.64050591288622,0,0.0611246943765281,0.8350146792399,0.569986192535884,0.831686329039345,0.554457552692896,0.197047324328381,0.248481109845604,0.271309324389943,0.002032680324371,0.0680272108843537,0.119047619047619,15.8,3.73629937988526e-07,22.8933656627851,0.755137050874606,2.85948203843767,19.2787465734728,80.1456000432012,5.34090364142351,10.681807282847,10.681807282847,85.4544582627762,5.34090364142351,718.84,0.0,0.0095164137903405,4.33,23.1261127674,0.0060985915493,386504,272135,236885,90089,0.0003547200007187,0.700531056857521,0.0003205156411491,0.753957699575001,0.0009188875319947,0.323221283470326,0.0008008035039902,0.231867832067041,3,10,12,14,10.8333333333333,"Dallas-Fort Worth-Arlington, TX Metro Area",424.0,395.0,792.0,671.44,,662.0,384.0,76.0,107.0,212.0,0.4,0.16,0.44,213.0,1.48858000820491,0.190377819290853,0.562546945535276,3.00957337077113,0.0,0.0,3.0,11.0,0.962706,-0.027509,-0.08353,-0.241761,-0.018226,-0.145805,-0.068564,0.012247,2.113264,0.328856,0.232304,0.030571,0.026792,0.093403,0.000627,-0.091362,-0.091362,-0.034381,-0.33084,-0.648986,-0.328734,0.023496,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,5.08592199753664,21.3798324217805,26.4657544193171,11.4429945577514,82.6363030031542,25.6593272665218,23.5809871876116,6131.05666877901,78.8986350127463,484945.14654541,3519.46910995062,48113,48113007825
2,3,481130078253,481130078253,48,113,7825,3,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,26.3670526,0.0,26.3670526,26.36705,737,365.0,329.0,0.811,19,0.0577507598784,143,0.434650455927,167,0.507598784195,463,136,189,138,0.293736501079914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.8430351518278,27.951553169581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8430351518278,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367879441171442,0.0,1.0,0.0,0.0,14.210508877932,6.12836527089615,2.61142957620768,5.47071403082821,24.272716776846,24.272716776846,0.0,24.272716776846,0.0,0.0,398.31,0.0,0.0,3.0,72.8181503305,0.00407055630936,404573,288925,230587,82815,0.0003713031038509,0.733280771391804,0.0003402905970162,0.800474868538436,0.0008944573077234,0.314627883114473,0.0007361447255819,0.213146272160109,1,1,7,17,8.33333333333333,"Dallas-Fort Worth-Arlington, TX Metro Area",258.0,463.0,528.0,383.68,343.0,64.0,198.0,136.0,189.0,138.0,0.213767677002005,0.339558250012244,0.446673213784002,213.0,2.69753074188262,0.0,1.9640819333696,1.86728646267522,0.0,0.0,4.0,11.0,0.962706,-0.027509,-0.08353,-0.241761,-0.018226,-0.145805,-0.068564,0.012247,2.113264,0.328856,0.232304,0.030571,0.026792,0.093403,0.000627,-0.091362,-0.091362,-0.034381,-0.33084,-0.648986,-0.328734,0.023496,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,6.88881397621795,25.422534513663,32.311348489881,11.4429945577514,82.6363030031542,25.6593272665218,28.7894115044839,7485.24699116583,70.6877593023602,106705.928146362,1697.09180169458,48113,48113007825
3,4,481130078241,481130078241,48,113,7824,1,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,119.0606872,0.0,119.0606872,119.0606872,904,384.0,384.0,0.638,0,0.0,43,0.111979166667,341,0.888020833333,431,60,69,302,0.139211136890951,253,26,0,25,47,155,26,0,25,3,155,2,42,0,121,87,45,0.478260869565217,3.22524595675272,7.59276652318869,2.12496673713135,0.218376028321799,0.0,0.209976950309422,0.394756666581713,1.30185709191841,0.218376028321799,0.0,0.209976950309422,0.0251972340371306,1.30185709191841,0.0167981560247537,0.352761276519828,0.0,5.35021269388407,0,0.658854166666667,0.775740272994601,0.668186301464458,0.642753698998774,0.553831403037214,0.682829822888899,0.620718567969714,0.677942634929209,0.59635098035083,0.437337942955921,0.739766081871345,1.70355731225296,0.494821933095225,32.178373444342,2.2085935823089,9.32354671693041,20.6462331451027,141.604423731228,21.5016397116848,21.5016397116848,32.2524595675272,134.38524819803,5.3754099279212,386.24,0.0,0.51537691100958,6.67,35.8539842192,0.00737831858407,423099,298058,168433,79657,0.0003883056257739,0.76685878962536,0.0003510472778938,0.82577810285309,0.0006533591560312,0.229820927617862,0.000708073180048,0.205018325200239,16,10,17,17,15.6666666666667,"Dallas-Fort Worth-Arlington, TX Metro Area",381.0,431.0,884.0,620.4,,818.0,441.0,60.0,69.0,302.0,0.478260869565217,0.343873517786561,0.177865612648221,213.0,1.44107747373076,1.13942363901375,1.16583270477978,3.07483145063185,0.0,0.0,4.0,11.0,1.667306,0.027428,-0.080295,-0.134665,-0.026813,0.096408,-0.154416,0.005872,2.179069,0.331939,0.230373,0.031779,0.029244,0.096545,0.000309,-0.095094,-0.095094,-0.036341,-0.331443,-0.623744,-0.345903,0.024698,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,4.51671783197164,21.7611333789385,26.2778512109101,11.4429945577514,82.6363030031542,25.6593272665218,23.4135654289209,6087.52701151944,79.162568818479,481828.430343628,2922.60920355515,48113,48113007824
4,5,481130078242,481130078242,48,113,7824,2,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,169.9272106,0.0,169.9272106,148.74292,948,343.0,343.0,0.506,5,0.0145772594752,67,0.195335276968,271,0.790087463557,579,91,84,404,0.157167530224525,32,0,2,10,20,0,0,2,10,19,0,0,1,0,6,9,17,0.1875,2.3059921104144,6.37341259671385,0.215136290184434,0.0,0.0134460181365271,0.0672300906826355,0.134460181365271,0.0,0.0,0.0134460181365271,0.0672300906826355,0.127737172297007,0.0,0.0,0.0067230090682635,0.0,2.52112840059883,0,0.0932944606413994,0.755975242630612,0.516033383497702,0.688595254620285,0.45906350308019,0.261471982499761,0.247735302797569,0.258986283201149,0.0079026488713264,0.0653061224489797,0.104746317512275,18.09375,3.76945618842192e-08,22.0586508450842,2.28965915623597,3.17607029073284,16.5929213981154,65.3079631026439,3.76631851803021,0.0,7.53263703606043,75.3263703606043,7.53263703606043,638.37,0.0,0.24892225514028,6.67,25.1213445153,0.0070358649789,335700,238166,120826,48682,0.000308093847001,0.608449785221032,0.0002805075723076,0.659845626167085,0.0004686894693238,0.164862843981618,0.0004327355857124,0.125295982869026,4,7,11,14,10.1666666666667,"Dallas-Fort Worth-Arlington, TX Metro Area",362.0,579.0,1001.0,660.0,770.0,942.0,484.0,91.0,84.0,404.0,0.1875,0.28125,0.53125,213.0,1.19573661295146,0.194856243492896,1.19078395948216,2.86749662785379,0.0,0.0,3.0,11.0,1.667306,0.027428,-0.080295,-0.134665,-0.026813,0.096408,-0.154416,0.005872,2.179069,0.331939,0.230373,0.031779,0.029244,0.096545,0.000309,-0.095094,-0.095094,-0.036341,-0.331443,-0.623744,-0.345903,0.024698,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,5.91180308566847,24.2267468465143,30.1385499321828,11.4429945577514,82.6363030031542,25.6593272665218,26.8534479895749,6981.89647728946,73.7397295017287,687684.775222778,3731.97177335713,48113,48113007824
5,6,481130078271,481130078271,48,113,7827,1,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,50.6871288,0.0,50.6871288,50.68713,1336,556.0,497.0,0.588,33,0.0663983903421,351,0.706237424547,113,0.227364185111,586,143,237,206,0.244027303754266,3,0,1,0,2,0,0,1,0,2,0,0,0,0,2,1,0,0.666666666666667,10.9692539309288,26.3577756325915,0.059186621929472,0.0,0.0197288739764907,0.0,0.0394577479529814,0.0,0.0,0.0197288739764907,0.0,0.0394577479529814,0.0,0.0,0.0,0.0,11.0284405528583,0,0.0060362173038229,0.918295834054489,0.395488489103723,0.918295834054489,0.306098611351497,0.0368619795879028,0.0368873858953432,0.0410660905042877,8.06840754914024e-37,0.0044809559372665,0.0101867572156197,195.333333333333,4.00042086230168e-85,23.213422688456,15.0347552654803,6.40123769008835,1.7774297328873,8.42186192246897,50.505918575526,12.6264796438815,0.0,0.0,0.0,950.85,0.0,0.094844428156246,3.0,37.8794389316,0.00224550898204,402287,289607,138562,52583,0.0003692050921314,0.729137440414696,0.0003410938441813,0.802364368790554,0.0005374882082371,0.18906299461855,0.0004674116778998,0.135336236539214,1,4,5,13,6.83333333333333,"Dallas-Fort Worth-Arlington, TX Metro Area",442.0,586.0,1090.0,646.8,595.0,292.0,609.0,143.0,237.0,206.0,0.666666666666667,0.333333333333333,0.0,213.0,2.48234118938419,0.0575012757672481,2.77475857050793,1.02152594352119,0.0,0.0,4.0,11.0,1.091321,0.162311,-0.101223,-0.081184,-0.058141,-0.206581,-0.20976,0.012036,2.113264,0.328856,0.232304,0.030571,0.026792,0.093403,0.000627,-0.091362,-0.091362,-0.034381,-0.33084,-0.648986,-0.328734,0.023496,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,8.29798666635975,27.4166576599222,35.714644326282,11.4429945577514,82.6363030031542,25.6593272665218,31.8217480947173,8273.65450462649,65.9074001496303,205126.841346741,3109.65178606342,48113,48113007827
6,7,481130093012,481130093012,48,113,9301,2,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,200.6407522,0.0,200.6407522,200.6407522,1541,451.0,368.0,0.644,11,0.0298913043478,20,0.054347826087,337,0.915760869565,481,117,227,137,0.243243243243243,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,2.24779859053977,7.68039385370686,0.0049840323515294,0.0,0.0,0.0049840323515294,0.0,0.0,0.0,0.0,0.0049840323515294,0.0,0.0,0.0,0.0,0.0,2.2527826228913,0,0.0027173913043478,0.0,0.0,0.0,0.0,0.0270141338951366,0.0023738520361671,0.0,0.0,0.0012970168612191,0.0041493775933609,481.0,3.45659650458862e-209,13.7250349447711,0.0,2.45720035878684,11.2678345859842,54.2390311074601,0.0,6.37956140995767,12.7591228199153,31.8978070497884,15.9489035248942,1165.43,0.0,0.0528174330578865,4.0,12.7591228199,0.00259571706684,263813,205690,8873,20657,0.0002421184452156,0.47815598209269,0.0002422579316441,0.569869951404935,3.44187646807058e-05,0.0121068976432961,0.0001836206194088,0.0531662445693578,1,1,10,13,8.0,"Dallas-Fort Worth-Arlington, TX Metro Area",342.0,481.0,1286.0,923.12,890.0,18.0,651.0,117.0,227.0,137.0,0.0,1.0,0.0,213.0,1.17797741007492,0.0049716531773862,0.0,2.50698076278845,0.0,0.0,3.0,11.0,0.382788,0.070028,-0.218999,-0.134832,0.13498,0.043613,-0.277715,0.012069,2.329818,0.336513,0.217033,0.008369,0.029958,0.010454,-0.000989,-0.096614,-0.096614,-0.036626,-0.27892,-0.659687,-0.334247,0.025276,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,7.97261310437991,27.4208005336033,35.3934136379832,11.4429945577514,82.6363030031542,25.6593272665218,31.535531551443,8199.23820337518,66.3586092524425,811981.066444397,4345.79933933909,48113,48113009301
7,8,481130011022,481130011022,48,113,1102,2,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,63.9924754,0.0,63.9924754,63.9924754,583,255.0,255.0,0.69,37,0.145098039216,77,0.301960784314,141,0.552941176471,425,49,74,302,0.115294117647059,52,0,16,0,26,10,0,16,0,21,10,0,5,0,11,19,22,0.211538461538462,3.98484350552253,9.11044613223385,0.812595538381064,0.0,0.250029396424943,0.0,0.406297769190532,0.156268372765589,0.0,0.250029396424943,0.0,0.328163582807737,0.156268372765589,0.0,0.0781341863827946,0.0,4.79743904390359,0,0.203921568627451,0.934166140642292,0.637667594281495,0.916877673477619,0.611251782318413,0.453537911252597,0.4842618449451,0.539120359699963,0.305874791383216,0.163779527559055,0.218029350104822,8.17307692307692,0.0007669592223939,20.4168607550683,0.0,1.71542817992209,18.7014325751462,83.3497995922189,0.0,20.0023517139954,0.0,0.0,70.008230998984,442.57,0.0,0.0,5.33,53.3062673178,0.0091423670669,372503,254439,275466,116035,0.0003418703672607,0.675154513983289,0.0002996736150011,0.704930432036172,0.001068544960164,0.375863706323476,0.0010314381843011,0.29864671484753,9,12,13,16,13.1666666666667,"Dallas-Fort Worth-Arlington, TX Metro Area",251.0,425.0,614.0,439.12,420.0,381.0,287.0,49.0,74.0,302.0,0.211538461538462,0.365384615384615,0.423076923076923,213.0,1.60640200984631,0.594759817188458,0.0,2.98069135265058,0.0,0.0,4.0,11.0,1.489669,-0.121606,-0.120638,0.017811,0.047933,0.071338,0.108262,0.006267,2.301062,0.335694,0.228894,0.032382,0.031423,0.081385,-0.00042,-0.099488,-0.099488,-0.0397,-0.319838,-0.606394,-0.354263,0.026007,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,5.1983440455361,22.6794604698739,27.87780451541,11.4429945577514,82.6363030031542,25.6593272665218,24.8391238232304,6458.17219403989,76.9152321804762,258973.570960999,2248.14847915664,48113,48113001102
8,9,481130114012,481130114012,48,113,11401,2,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,612.654798,0.0,612.654798,576.19983,1770,595.0,507.0,0.515,42,0.0828402366864,177,0.349112426036,288,0.568047337278,597,228,235,134,0.381909547738693,26,0,1,0,25,0,0,1,0,0,0,0,25,0,12,12,2,0.461538461538462,1.0326278645379,3.07185095837324,0.0451232344167821,0.0,0.00173550901603,0.0,0.043387725400752,0.0,0.0,0.00173550901603,0.0,0.0,0.0,0.0,0.043387725400752,0.0,1.07775109895468,0,0.0512820512820513,0.235193381819241,0.101292276163552,0.235193381819241,0.0783977939397472,0.184652093782977,0.209191333641641,0.232889103728134,0.0020946255792025,0.0289532293986637,0.0834670947030497,22.9615384615385,2.89884525105313e-10,17.2487252751352,2.16184256338579,2.80610864453752,12.2807740672119,68.9719563740363,8.3570715788306,5.22316973676912,4.1785357894153,73.1243763147677,12.5356073682459,280.29,0.0002038546412122,0.185777298759448,3.0,3.13390184206,0.00169491525424,253775,208423,22,512,0.000232905916064,0.459962300400558,0.0002454768092131,0.577441805054552,8.53389860222615e-08,3.00182292519457e-05,4.55118154317393e-06,0.0013177672081866,3,2,11,18,10.5,"Dallas-Fort Worth-Arlington, TX Metro Area",483.0,597.0,1688.0,983.84,883.0,143.0,867.0,228.0,235.0,134.0,0.461538461538462,0.461538461538462,0.0769230769230769,213.0,0.709329470442824,0.0441348061354148,1.15115494734713,2.58631743054326,0.0,0.0,1.0,11.0,3.820256,0.370508,-0.097394,-0.102125,0.127672,-0.484748,-0.604131,0.001342,2.270904,0.336693,0.220233,0.023284,0.033646,0.031469,-0.00052,-0.098916,-0.098916,-0.041587,-0.296522,-0.628683,-0.364162,0.026003,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,6.79849040250493,18.3828289160304,25.1813193185354,11.4429945577514,82.6363030031542,25.6593272665218,22.436555512815,5833.5044333319,80.7027864545448,2479375.45155334,8246.62219468186,48113,48113011401
9,10,481130114013,481130114013,48,113,11401,3,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,187.1542813,0.0,187.1542813,176.4912,1790,832.0,727.0,0.578,227,0.312242090784,396,0.544704264099,104,0.143053645117,751,269,358,124,0.358189081225033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.7141160579111,10.1421487303616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7141160579111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367879441171442,0.0,1.0,0.0,0.0,16.4473051547169,0.0,7.05242852004278,9.39487663467413,53.5925757633203,0.0,13.6785543040634,17.0981928800792,41.0356629121901,0.0,619.6,0.0,0.0,4.0,13.6785543041,0.00223463687151,233145,192620,9,678,0.0002139724157255,0.422570822685009,0.00022686432395,0.533659147453053,3.49114033727434e-08,1.22801846939778e-05,6.02675993412485e-06,0.0017450120452158,1,1,10,15,8.66666666666667,"Dallas-Fort Worth-Arlington, TX Metro Area",765.0,751.0,1915.0,1214.4,585.0,0.0,747.0,269.0,358.0,124.0,0.213767677002005,0.339558250012244,0.446673213784002,213.0,1.74293961475231,0.0,0.0,2.34131305348334,0.0,0.0,3.0,11.0,3.820256,0.370508,-0.097394,-0.102125,0.127672,-0.484748,-0.604131,0.001342,2.270904,0.336693,0.220233,0.023284,0.033646,0.031469,-0.00052,-0.098916,-0.098916,-0.041587,-0.296522,-0.628683,-0.364162,0.026003,928341.0,2606868.0,1163871.0,1759309.2,1394052.0,0.291340029491328,0.493077516774919,0.213767677002005,0.339558250012244,0.446673213784002,0.393451544206278,7.24043861097406,27.5535105199796,34.7939491309536,11.4429945577514,82.6363030031542,25.6593272665218,31.0014086756797,8060.36625567671,67.2006329202839,757402.006790161,3669.65835546805,48113,48113011401
